"admin3","admin3_name","hdx_pcode"
"25426","MACHETA","COL-25426"
"25430","MADRID","COL-25430"
"25436","MANTA","COL-25436"
"25438","MEDINA","COL-25438"
"25473","MOSQUERA","COL-25473"
"25483","NARIÑO","COL-25483"
"25486","NEMOCON","COL-25486"
"25488","NILO","COL-25488"
"25489","NIMAIMA","COL-25489"
"25491","NOCAIMA","COL-25491"
"25506","VENECIA","COL-25506"
"25513","PACHO","COL-25513"
"25518","PAIME","COL-25518"
"25524","PANDI","COL-25524"
"25530","PARATEBUENO","COL-25530"
"25535","PASCA","COL-25535"
"25572","PUERTO SALGAR","COL-25572"
"25580","PULI","COL-25580"
"25592","QUEBRADANEGRA","COL-25592"
"25594","QUETAME","COL-25594"
"25596","QUIPILE","COL-25596"
"25599","APULO","COL-25599"
"25612","RICAURTE","COL-25612"
"25645","SAN ANTONIO DE TEQUENDAMA","COL-25645"
"25649","SAN BERNARDO","COL-25649"
"25653","SAN CAYETANO","COL-25653"
"25658","SAN FRANCISCO","COL-25658"
"25662","SAN JUAN DE RIO SECO","COL-25662"
"25718","SASAIMA","COL-25718"
"25736","SESQUILE","COL-25736"
"25740","SIBATE","COL-25740"
"25743","SILVANIA","COL-25743"
"25745","SIMIJACA","COL-25745"
"25754","SOACHA","COL-25754"
"25758","SOPO","COL-25758"
"25769","SUBACHOQUE","COL-25769"
"25772","SUESCA","COL-25772"
"25777","SUPATA","COL-25777"
"25779","SUSA","COL-25779"
"25781","SUTATAUSA","COL-25781"
"25785","TABIO","COL-25785"
"25793","TAUSA","COL-25793"
"25797","TENA","COL-25797"
"25799","TENJO","COL-25799"
"25805","TIBACUY","COL-25805"
"25807","TIBIRITA","COL-25807"
"25815","TOCAIMA","COL-25815"
"25817","TOCANCIPA","COL-25817"
"25823","TOPAIPI","COL-25823"
"25839","UBALA","COL-25839"
"25841","UBAQUE","COL-25841"
"25843","UBATE","COL-25843"
"25845","UNE","COL-25845"
"25851","UTICA","COL-25851"
"25862","VERGARA","COL-25862"
"25867","VIANI","COL-25867"
"25871","VILLAGOMEZ","COL-25871"
"25873","VILLAPINZON","COL-25873"
"25875","VILLETA","COL-25875"
"25878","VIOTA","COL-25878"
"25885","YACOPI","COL-25885"
"25898","ZIPACON","COL-25898"
"25899","ZIPAQUIRA","COL-25899"
"27001","QUIBDO","COL-27001"
"27006","ACANDI","COL-27006"
"27025","ALTO BAUDO","COL-27025"
"27050","ATRATO","COL-27050"
"27073","BAGADO","COL-27073"
"27075","BAHIA SOLANO","COL-27075"
"27077","BAJO BAUDO","COL-27077"
"27099","BOJAYA","COL-27099"
"27135","CANTON DE SAN PABLO","COL-27135"
"27150","CARMEN DEL DARIEN","COL-27150"
"27160","CERTEGUI","COL-27160"
"27205","CONDOTO","COL-27205"
"27245","EL CARMEN DE ATRATO","COL-27245"
"27250","EL LITORAL DEL SAN JUAN","COL-27250"
"27361","ITSMINA","COL-27361"
"27372","JURADO","COL-27372"
"27413","LLORO","COL-27413"
"27425","MEDIO ATRATO","COL-27425"
"27430","MEDIO BAUDÓ","COL-27430"
"27450","MEDIO SAN JUAN","COL-27450"
"27491","NOVITA","COL-27491"
"27495","NUQUI","COL-27495"
"27580","RIO IRO","COL-27580"
"27600","RIO QUITO","COL-27600"
"27615","RIOSUCIO","COL-27615"
"27660","SAN JOSE DEL PALMAR","COL-27660"
"27745","SIPI","COL-27745"
"27787","TADO","COL-27787"
"27800","UNGUIA","COL-27800"
"27810","UNION PANAMERICANA","COL-27810"
"41001","NEIVA","COL-41001"
"41006","ACEVEDO","COL-41006"
"41013","AGRADO","COL-41013"
"41016","AIPE","COL-41016"
"41020","ALGECIRAS","COL-41020"
"41026","ALTAMIRA","COL-41026"
"41078","BARAYA","COL-41078"
"41132","CAMPOALEGRE","COL-41132"
"41206","COLOMBIA","COL-41206"
"41244","ELIAS","COL-41244"
"41298","GARZON","COL-41298"
"41306","GIGANTE","COL-41306"
"41319","GUADALUPE","COL-41319"
"41349","HOBO","COL-41349"
"41357","IQUIRA","COL-41357"
"41359","ISNOS","COL-41359"
"41378","LA ARGENTINA","COL-41378"
"41396","LA PLATA","COL-41396"
"41483","NATAGA","COL-41483"
"41503","OPORAPA","COL-41503"
"41518","PAICOL","COL-41518"
"41524","PALERMO","COL-41524"
"41530","PALESTINA","COL-41530"
"41548","PITAL","COL-41548"
"41551","PITALITO","COL-41551"
"41615","RIVERA","COL-41615"
"41660","SALADOBLANCO","COL-41660"
"41668","SAN AGUSTIN","COL-41668"
"41676","SANTA MARIA","COL-41676"
"41770","SUAZA","COL-41770"
"41791","TARQUI","COL-41791"
"41797","TESALIA","COL-41797"
"41799","TELLO","COL-41799"
"41801","TERUEL","COL-41801"
"41807","TIMANA","COL-41807"
"41872","VILLAVIEJA","COL-41872"
"41885","YAGUARA","COL-41885"
"44001","RIOHACHA","COL-44001"
"44035","ALBANIA","COL-44035"
"44078","BARRANCAS","COL-44078"
"44090","DIBULLA","COL-44090"
"44098","DISTRACCION","COL-44098"
"44110","EL MOLINO","COL-44110"
"44279","FONSECA","COL-44279"
"44378","HATONUEVO","COL-44378"
"44420","LA JAGUA DEL PILAR","COL-44420"
"44430","MAICAO","COL-44430"
"44560","MANAURE","COL-44560"
"44650","SAN JUAN DEL CESAR","COL-44650"
"44847","URIBIA","COL-44847"
"44855","URUMITA","COL-44855"
"44874","VILLANUEVA","COL-44874"
"47001","SANTA MARTA","COL-47001"
"47030","ALGARROBO","COL-47030"
"47053","ARACATACA","COL-47053"
"47058","ARIGUANI","COL-47058"
"47161","CERRO SAN ANTONIO","COL-47161"
"47170","CHIVOLO","COL-47170"
"47189","CIENAGA","COL-47189"
"47205","CONCORDIA","COL-47205"
"47245","EL BANCO","COL-47245"
