"divipola.Código.Centro.Poblado","divipola.Nombre.Centro.Poblado","hdx_pcode"
"05490000","NECOCLÍ","COL-"
"05490001","EL TOTUMO","COL-"
"05490002","MULATOS","COL-"
"05490003","PUEBLO NUEVO","COL-"
"05490004","ZAPATA","COL-"
"05490005","CARIBIA","COL-"
"05490006","VEREDA CASA BLANCA","COL-"
"05490007","VEREDA EL BOBAL","COL-"
"05490008","LAS CHANGAS","COL-"
"05490009","EL MELLITO","COL-"
"05495000","NECHÍ","COL-"
"05495001","BIJAGUAL","COL-"
"05495002","COLORADO","COL-"
"05495003","LA CONCHA","COL-"
"05495004","LAS FLORES","COL-"
"05495005","CARGUEROS","COL-"
"05501000","OLAYA","COL-"
"05501001","LLANADAS","COL-"
"05501002","SUCRE","COL-"
"05541000","PEÑOL","COL-"
"05543000","PEQUE","COL-"
"05543001","BARBACOAS","COL-"
"05543002","LOMITAS","COL-"
"05543003","LOS LLANOS","COL-"
"05543004","LA VEGA DEL INGLES","COL-"
"05543009","EL AGRIO","COL-"
"05543010","JERIGUA","COL-"
"05576000","PUEBLORRICO","COL-"
"05579000","PUERTO BERRÍO","COL-"
"05579001","PUERTO MURILLO","COL-"
"05579002","VIRGINIAS","COL-"
"05579003","CABAÑAS","COL-"
"05579004","EL BRASIL","COL-"
"05579005","CRISTALINA","COL-"
"05579009","MALENA","COL-"
"05579010","CALERA","COL-"
"05579011","BODEGAS","COL-"
"05579012","DORADO-CALAMAR","COL-"
"05579013","LA CARLOTA","COL-"
"05579014","MINAS DEL VAPOR","COL-"
"05579015","SANTA MARTINA","COL-"
"05585000","PUERTO NARE","COL-"
"05585001","ARABIA","COL-"
"05585002","LOS DELIRIOS","COL-"
"05585003","LA SIERRA","COL-"
"05585004","LA UNIÓN","COL-"
"05585006","LA PESCA","COL-"
"05585007","EL DELIRIO","COL-"
"05585008","LAS ANGELITAS","COL-"
"05591000","PUERTO TRIUNFO","COL-"
"05591002","PUERTO PERALES NUEVO","COL-"
"05591003","ESTACIÓN COCORNÁ","COL-"
"05591004","DORADAL","COL-"
"05591005","LA MERCEDES","COL-"
"05591007","ESTACIÓN PITA","COL-"
"05591008","LA FLORIDA TRES RANCHOS","COL-"
"05591009","SANTIAGO BERRIO","COL-"
"05604000","REMEDIOS","COL-"
"05604001","LA CRUZADA","COL-"
"05604003","SANTA ISABEL","COL-"
"05604005","OTU","COL-"
"05604007","CAÑAVERAL","COL-"
"05604008","MARTANA","COL-"
"05604009","ROO BAGRE","COL-"
"05607000","RETIRO","COL-"
"05607003","ALTO DE CARRIZALES","COL-"
"05607004","SAN DIEGO","COL-"
"05607005","EL CHUSCAL","COL-"
"05607006","LEJOS DEL NIDO","COL-"
"05607007","LOS SALADOS","COL-"
"05607008","SANTA ELENA","COL-"
"05607009","EL PORTENTO","COL-"
