"Código.Departamento","Código.Municipio","Código.Centro.Poblado","Nombre.Departamento","Nombre.Municipio","Nombre.Centro.Poblado","Tipo.Centro.Poblado","Tipo.de.Municipio","X.","Distrito","Area.Metropolitana"
"05","05034","05034012","ANTIOQUIA","ANDES","SANTA INÉS","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05034","05034014","ANTIOQUIA","ANDES","SAN BARTOLO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05034","05034015","ANTIOQUIA","ANDES","LA CHAPARRALA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05036","05036000","ANTIOQUIA","ANGELOPOLIS","ANGELÓPOLIS","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05036","05036001","ANTIOQUIA","ANGELOPOLIS","LA ESTACION","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05036","05036004","ANTIOQUIA","ANGELOPOLIS","SAN ISIDRO","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05036","05036007","ANTIOQUIA","ANGELOPOLIS","LA CLARA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05036","05036010","ANTIOQUIA","ANGELOPOLIS","SANTA RITA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05036","05036011","ANTIOQUIA","ANGELOPOLIS","CIENAGUITA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05038","05038000","ANTIOQUIA","ANGOSTURA","ANGOSTURA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05038","05038008","ANTIOQUIA","ANGOSTURA","LLANOS DE CUIBA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05040","05040000","ANTIOQUIA","ANORI","ANORÍ","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05040","05040002","ANTIOQUIA","ANORI","LIBERIA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05040","05040003","ANTIOQUIA","ANORI","MONTEFROO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05040","05040004","ANTIOQUIA","ANORI","SANTO DOMINGO","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05040","05040005","ANTIOQUIA","ANORI","CRISTALINAS","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05040","05040006","ANTIOQUIA","ANORI","LAS NIEVES","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05040","05040007","ANTIOQUIA","ANORI","MADRE SECA","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05042","05042000","ANTIOQUIA","SANTAFE DE ANTIOQUIA","SANTA FÉ DE ANTIOQUIA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05042","05042001","ANTIOQUIA","SANTAFE DE ANTIOQUIA","CATIVO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05042","05042002","ANTIOQUIA","SANTAFE DE ANTIOQUIA","GUASABRA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05042","05042003","ANTIOQUIA","SANTAFE DE ANTIOQUIA","LAS AZULES","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05042","05042004","ANTIOQUIA","SANTAFE DE ANTIOQUIA","TONUSCO ARRIBA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05042","05042006","ANTIOQUIA","SANTAFE DE ANTIOQUIA","EL PESCADO","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05042","05042007","ANTIOQUIA","SANTAFE DE ANTIOQUIA","SABANAS","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05044","05044000","ANTIOQUIA","ANZA","ANZÁ","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05044","05044001","ANTIOQUIA","ANZA","GUINTAR","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05044","05044002","ANTIOQUIA","ANZA","LA CHOLINA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05044","05044003","ANTIOQUIA","ANZA","LOS LLANOS","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05044","05044005","ANTIOQUIA","ANZA","LA CEJITA","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05044","05044006","ANTIOQUIA","ANZA","LA HIGUINA","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05045","05045000","ANTIOQUIA","APARTADO","APARTADÓ","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05045","05045001","ANTIOQUIA","APARTADO","SAN JOSÉ DE APARTADÓ","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05045","05045002","ANTIOQUIA","APARTADO","CHURIDÓ","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05045","05045003","ANTIOQUIA","APARTADO","ZUNGO CARRETERA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05045","05045007","ANTIOQUIA","APARTADO","LOS NARANJALES","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05045","05045008","ANTIOQUIA","APARTADO","VIJAGUAL","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05045","05045009","ANTIOQUIA","APARTADO","EL REPOSO","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05045","05045011","ANTIOQUIA","APARTADO","EL SALVADOR","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05045","05045014","ANTIOQUIA","APARTADO","PUERTO GIRON","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05051","05051000","ANTIOQUIA","ARBOLETES","ARBOLETES","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05051","05051001","ANTIOQUIA","ARBOLETES","BUENOS AIRES","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05051","05051003","ANTIOQUIA","ARBOLETES","EL CARMELO","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05051","05051005","ANTIOQUIA","ARBOLETES","LAS NARANJITAS","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05051","05051008","ANTIOQUIA","ARBOLETES","EL YESO","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05051","05051009","ANTIOQUIA","ARBOLETES","LA TRINIDAD","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05051","05051010","ANTIOQUIA","ARBOLETES","LAS PLATAS (SANTAFÉ)","INSPECCIÓN DE POLICÍA (IP)","MUNICIPIO","",NA,NA
"05","05051","05051011","ANTIOQUIA","ARBOLETES","LA CANDELARIA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05051","05051014","ANTIOQUIA","ARBOLETES","EL GUADUAL","CASERÍO (CAS)","MUNICIPIO","",NA,NA
"05","05051","05051015","ANTIOQUIA","ARBOLETES","ARENOSA CARMELO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05051","05051016","ANTIOQUIA","ARBOLETES","BARRANCUDA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05051","05051017","ANTIOQUIA","ARBOLETES","LA ATOYOSA","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05051","05051018","ANTIOQUIA","ARBOLETES","PUEBLO CHINO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05051","05051019","ANTIOQUIA","ARBOLETES","SAN JOSE DEL CARMELO","CENTRO POBLADO (CP)","MUNICIPIO","",NA,NA
"05","05055","05055000","ANTIOQUIA","ARGELIA","ARGELIA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05059","05059000","ANTIOQUIA","ARMENIA","ARMENIA","CABECERA MUNICIPAL (CM)","MUNICIPIO","",NA,NA
"05","05059","05059001","ANTIOQUIA","ARMENIA","LA HERRADURA","CORREGIMIENTO MUNICIPAL (C)","MUNICIPIO","",NA,NA
"05","05059","05059002","ANTIOQUIA","ARMENIA","LA LOMA","CASERÍO (CAS)","MUNICIPIO","",NA,NA
